Wavelength,Clean Snow,2023-3-2-BB-DBC,2023-5-6-BB-DBC,2023-5-20-AP-DBC,2023-5-20-BB-DBC,2023-6-8-BB-DBC,2023-6-26-BB-DBC,2023-7-10-BB-DBC,2023-7-17-BB-DBC,2023-7-24-AP-DBC,2023-8-6-CK-DBC,2023-8-23-CK-DBC
205,0.949698982,0.974447514,0.911447007,0.932062624,0.935545709,0.93134091,0.919584986,0.925939105,0.928621556,0.905786379,0.934774307,0.925747874
215,0.950078527,0.974355141,0.910807269,0.932061309,0.935666184,0.931331193,0.91918152,0.925701656,0.928386357,0.905009589,0.934690466,0.925376643
225,0.950534613,0.974295071,0.910401186,0.932201863,0.935912908,0.931464513,0.918975999,0.925635831,0.928319062,0.904489543,0.934749259,0.925188806
235,0.950936688,0.974260311,0.90997999,0.932305979,0.936119862,0.931558305,0.918739337,0.925532405,0.928205548,0.903954974,0.934758651,0.924970044
245,0.951251255,0.974177281,0.909528078,0.932352999,0.936265086,0.931591595,0.918453753,0.925372527,0.928027107,0.903390462,0.934699164,0.924703711
255,0.951640308,0.974154378,0.909289134,0.932528442,0.936523771,0.931755247,0.918350805,0.925371531,0.92800665,0.903060714,0.934774177,0.924607102
265,0.952102463,0.97421218,0.909269484,0.932829686,0.936891288,0.932047893,0.918436107,0.925533216,0.928150496,0.902974974,0.934987786,0.924685905
275,0.952548107,0.97415948,0.909277431,0.933147714,0.937274111,0.932355427,0.918539953,0.925709499,0.928302818,0.902917262,0.93520748,0.924780755
285,0.952959881,0.974315995,0.909274169,0.933423485,0.937608567,0.932618881,0.918616386,0.925850119,0.928414605,0.902851539,0.935380868,0.924848789
295,0.953327687,0.974371745,0.909275895,0.933688487,0.937929389,0.932869459,0.918686867,0.925979976,0.928510064,0.902791318,0.935534991,0.924910035
305,0.953718367,0.974437774,0.909391674,0.93401327,0.938299869,0.933181358,0.918852725,0.926190502,0.928686297,0.90285856,0.935755472,0.925059959
315,0.954129811,0.974534723,0.909604799,0.934387669,0.938710982,0.933544327,0.919099653,0.926469245,0.92893088,0.903034884,0.93603174,0.925285257
325,0.955399083,0.97485951,0.910327471,0.935510005,0.93992762,0.934647533,0.919931216,0.927379935,0.929787832,0.903687257,0.936957177,0.926054649
335,0.956222647,0.975049964,0.910817844,0.936264647,0.940745943,0.93538278,0.920479271,0.927977499,0.930334494,0.904124765,0.93754997,0.926558638
345,0.95768744,0.975400315,0.911677128,0.937573263,0.942165488,0.936660796,0.921447928,0.929030758,0.931318817,0.904903993,0.938608569,0.927453231
355,0.958720573,0.975636561,0.91234103,0.938533066,0.943201402,0.937592258,0.922167898,0.929801719,0.932027401,0.905510948,0.939364221,0.928115561
365,0.959462836,0.975883932,0.912877103,0.939251293,0.943969108,0.938285105,0.922721874,0.930382056,0.932550304,0.906007275,0.93991399,0.928622909
375,0.959973447,0.975974083,0.913317482,0.939801792,0.944551626,0.938811681,0.923154747,0.93082587,0.932938409,0.906417206,0.940316869,0.929016903
385,0.960516684,0.976219393,0.913771102,0.940363684,0.94514572,0.939347058,0.923595953,0.931276517,0.933329789,0.906839069,0.940722281,0.92941789
395,0.960980153,0.976377917,0.914218274,0.940883274,0.94568935,0.939840753,0.924017934,0.931699601,0.9336941,0.90726017,0.941093485,0.929800703
405,0.961387387,0.976505247,0.914658072,0.941369501,0.946193627,0.940301094,0.92442246,0.932099126,0.934034533,0.907677398,0.941435786,0.930166907
415,0.962290864,0.976795336,0.91536911,0.942267886,0.947148745,0.941159284,0.925132475,0.932829038,0.934690899,0.908344932,0.942114,0.930816395
425,0.962214977,0.976861384,0.915589374,0.942362823,0.947217239,0.941239719,0.925267023,0.93292464,0.934738188,0.908567443,0.942135445,0.930931337
435,0.961780997,0.976809596,0.915637759,0.942171123,0.946968774,0.941043493,0.925198628,0.93279578,0.934569986,0.908634988,0.941924065,0.930857759
445,0.961239721,0.976783682,0.915633881,0.941881777,0.946611491,0.940753611,0.925065613,0.932593535,0.934331993,0.908657779,0.941635712,0.930724232
455,0.960442824,0.97667132,0.91549948,0.941377985,0.946018812,0.940256612,0.92477969,0.932222635,0.933932813,0.908563513,0.941173558,0.930448827
465,0.959508273,0.976585942,0.915277615,0.940738369,0.945279219,0.939627362,0.924392607,0.931741434,0.933427695,0.908389694,0.9405985,0.93007948
475,0.958101764,0.976266058,0.91479783,0.9396979,0.944104922,0.938608288,0.923709159,0.930936877,0.93261356,0.90798217,0.939693089,0.929435245
485,0.956615946,0.976078312,0.91423865,0.938544416,0.942812649,0.937476713,0.922935501,0.930035135,0.931706458,0.907502634,0.938689632,0.928707326
495,0.95474537,0.975723809,0.913431796,0.937035857,0.941143456,0.935994464,0.92188174,0.928832204,0.930509763,0.906794885,0.93738089,0.927719308
505,0.952549191,0.975260768,0.912395282,0.935210019,0.939141921,0.934195593,0.920569211,0.927352423,0.929046471,0.905875015,0.935792495,0.926490908
515,0.950100169,0.974738134,0.911150482,0.933119277,0.936868856,0.932128223,0.919025058,0.925628537,0.92734603,0.904759036,0.933959088,0.925046942
525,0.947259463,0.9740857,0.909597382,0.930635152,0.934190918,0.929662773,0.917137493,0.923542687,0.925293319,0.903352103,0.931761679,0.923283205
535,0.944096994,0.973332056,0.9077679,0.92781632,0.931173924,0.92685469,0.914943254,0.921136276,0.922926885,0.901682198,0.929242928,0.921233479
545,0.940327916,0.972367798,0.905441728,0.924390429,0.927536489,0.92342904,0.912198071,0.918154341,0.91999536,0.899536615,0.926145807,0.918669579
555,0.936102843,0.971182995,0.902693609,0.920495778,0.923430699,0.91952051,0.908991591,0.914699611,0.916593427,0.896977242,0.922576728,0.915673794
565,0.931585246,0.970054812,0.899611838,0.916259112,0.918990523,0.915256128,0.90542362,0.910880115,0.912824335,0.894085277,0.918645469,0.912338455
575,0.926820549,0.968755081,0.896238954,0.911751973,0.914291818,0.910708828,0.901546345,0.90675531,0.90874344,0.890895973,0.914413788,0.908711481
585,0.92201466,0.967376085,0.892726373,0.907169712,0.909535907,0.906077769,0.897531734,0.902507583,0.904529207,0.887552083,0.910066991,0.904953124
595,0.916401059,0.965724526,0.888453733,0.901754938,0.903942838,0.900598922,0.892693991,0.897423805,0.899476199,0.883452553,0.904887,0.900421623
605,0.91484268,0.965336071,0.887402403,0.90030701,0.90243399,0.899131385,0.891439008,0.896078376,0.898118331,0.882462031,0.90348045,0.899241002
615,0.907142354,0.962865898,0.881213639,0.892769118,0.894697207,0.891497011,0.884528739,0.888886549,0.890954221,0.876460269,0.896199724,0.892763143
625,0.898597984,0.960237857,0.874087426,0.884302063,0.886041592,0.882917857,0.876635113,0.880722166,0.882799623,0.86949976,0.887962176,0.88535606
635,0.890761041,0.957658998,0.86739574,0.8764922,0.878080849,0.875003647,0.869265871,0.873135089,0.875203827,0.862929501,0.880324623,0.878434194
645,0.883200616,0.955316364,0.860782752,0.868888724,0.87034837,0.867299154,0.862024594,0.865708551,0.867758731,0.856409948,0.872866307,0.871627337
655,0.875471162,0.952610717,0.853909567,0.861093598,0.86243709,0.859401767,0.854542211,0.85806183,0.860087646,0.849609999,0.865206139,0.864589407
665,0.86809994,0.950064032,0.847245094,0.853614852,0.854858732,0.851826313,0.847321197,0.850702349,0.852701537,0.842999335,0.857848426,0.857793249
675,0.861886585,0.948190747,0.841543352,0.847260053,0.848425831,0.845390383,0.84116235,0.844436444,0.846410745,0.837334467,0.85159171,0.851993534
685,0.855006873,0.945631238,0.835182765,0.840237469,0.841326161,0.838279556,0.834324686,0.837496382,0.83944551,0.831001824,0.844676754,0.845552154
695,0.844598483,0.942037333,0.825340226,0.829509647,0.830499289,0.827419936,0.82381579,0.826864158,0.828783687,0.821175531,0.834115982,0.835648094
705,0.832461727,0.937410148,0.813723677,0.816975616,0.81786677,0.81473568,0.811480096,0.814414409,0.816306417,0.809554691,0.821777938,0.824013799
715,0.820749484,0.933275385,0.802341266,0.804792719,0.805601291,0.80241033,0.799447203,0.802293412,0.804165312,0.798151152,0.809786569,0.812655676
725,0.812986116,0.930494455,0.794764167,0.796707933,0.797465105,0.794232651,0.791451828,0.794244935,0.796104582,0.790556789,0.80182779,0.805102738
735,0.805475757,0.927695,0.787403219,0.788882377,0.789593506,0.786318547,0.78370123,0.786449237,0.788299531,0.783174774,0.794124493,0.797776818
745,0.792712426,0.922698226,0.774771309,0.77555405,0.776199548,0.772842904,0.770458809,0.773152963,0.774998187,0.770489461,0.781008539,0.785251549
755,0.776838361,0.916593544,0.758899252,0.758911878,0.759488521,0.756022184,0.753883053,0.756532507,0.75838182,0.754534875,0.764632685,0.769556024
765,0.759166708,0.909639711,0.741107286,0.74035322,0.740864788,0.737271153,0.735363825,0.737982677,0.739845434,0.736638695,0.74636889,0.751995353
775,0.74118701,0.902173219,0.722922407,0.721470226,0.721925637,0.718199592,0.71649244,0.719096109,0.720979873,0.718338553,0.727781778,0.734072584
785,0.724912198,0.895465222,0.706378231,0.704347772,0.704758659,0.700912329,0.699363953,0.701963218,0.70387009,0.701685667,0.710922169,0.717779196
