date,latitude (N),longitude (E),total_aot,smoke_aot
2022-05-01,48.5,-121.5,0.1392375,0.0142125
2022-05-02,48.5,-121.5,0.176385,0.0166775
2022-05-03,48.5,-121.5,0.1124275,0.015774999
2022-05-04,48.5,-121.5,0.091955,0.013747499
2022-05-05,48.5,-121.5,0.060310002,0.007929999
2022-05-06,48.5,-121.5,0.059945,0.00581
2022-05-07,48.5,-121.5,0.0754925,0.006255
2022-05-08,48.5,-121.5,0.0841275,0.0075725
2022-05-09,48.5,-121.5,0.0854075,0.0083725
2022-05-10,48.5,-121.5,0.08386,0.00964
2022-05-11,48.5,-121.5,0.0729975,0.01024
2022-05-12,48.5,-121.5,0.106185,0.0134025
2022-05-13,48.5,-121.5,0.067617506,0.0067525
2022-05-14,48.5,-121.5,0.081824996,0.0069625
2022-05-15,48.5,-121.5,0.085065,0.0070325
2022-05-16,48.5,-121.5,0.1062875,0.0083925
2022-05-17,48.5,-121.5,0.1405325,0.0163875
2022-05-18,48.5,-121.5,0.09096,0.009505
2022-05-19,48.5,-121.5,0.113162495,0.006245
2022-05-20,48.5,-121.5,0.067535,0.00795
2022-05-21,48.5,-121.5,0.068320006,0.0097775
2022-05-22,48.5,-121.5,0.0784825,0.01002
2022-05-23,48.5,-121.5,0.112025,0.015927501
2022-05-24,48.5,-121.5,0.06689,0.00938
2022-05-25,48.5,-121.5,0.084815,0.0093175
2022-05-26,48.5,-121.5,0.088515,0.01334
2022-05-27,48.5,-121.5,0.0693025,0.0089575
2022-05-28,48.5,-121.5,0.054787498,0.00536
2022-05-29,48.5,-121.5,0.0491575,0.0035625
2022-05-30,48.5,-121.5,0.06342,0.00495
2022-05-31,48.5,-121.5,0.085889995,0.0104775
2022-06-01,48.5,-121.5,0.0869675,0.0110025
2022-06-02,48.5,-121.5,0.07287,0.007555
2022-06-03,48.5,-121.5,0.0926425,0.012065
2022-06-04,48.5,-121.5,0.071637504,0.0078375
2022-06-05,48.5,-121.5,0.0595175,0.004415
2022-06-06,48.5,-121.5,0.09406,0.01916
2022-06-07,48.5,-121.5,0.060577497,0.013655
2022-06-08,48.5,-121.5,0.0848925,0.013857501
2022-06-09,48.5,-121.5,0.06554,0.010427499
2022-06-10,48.5,-121.5,0.0392725,0.0033075
2022-06-11,48.5,-121.5,0.059332505,0.00719
2022-06-12,48.5,-121.5,0.06714,0.01288
2022-06-13,48.5,-121.5,0.0688875,0.011654999
2022-06-14,48.5,-121.5,0.0946425,0.037455
2022-06-15,48.5,-121.5,0.10736,0.0366575
2022-06-16,48.5,-121.5,0.086425,0.028042499
2022-06-17,48.5,-121.5,0.0692525,0.02002
2022-06-18,48.5,-121.5,0.0629725,0.0123325
