date,latitude (N),longitude (E),precip per hour (mm/hr),total precip (mm/day)
2022-05-01,48.5,-121.5,0.00423645,0.101674788
2022-05-02,48.5,-121.5,0.15399665,3.6959196
2022-05-03,48.5,-121.5,0.10995348,2.63888352
2022-05-04,48.5,-121.5,0.002649029,0.063576691
2022-05-05,48.5,-121.5,0.33228886,7.97493264
2022-05-06,48.5,-121.5,0.7576603,18.1838472
2022-05-07,48.5,-121.5,0.73427194,17.62252656
2022-05-08,48.5,-121.5,0.2543586,6.1046064
2022-05-09,48.5,-121.5,0.1415059,3.3961416
2022-05-10,48.5,-121.5,0.08874416,2.12985984
2022-05-11,48.5,-121.5,0.004028082,0.096673968
2022-05-12,48.5,-121.5,0.08292332,1.99015968
2022-05-13,48.5,-121.5,0.55549014,13.33176336
2022-05-14,48.5,-121.5,0.1262351,3.0296424
2022-05-15,48.5,-121.5,0.36048293,8.65159032
2022-05-16,48.5,-121.5,0.79172736,19.00145664
2022-05-17,48.5,-121.5,0.22883183,5.49196392
2022-05-18,48.5,-121.5,0.67997205,16.3193292
2022-05-19,48.5,-121.5,0.9954825,23.89158
2022-05-20,48.5,-121.5,0.005990267,0.143766408
2022-05-21,48.5,-121.5,0.000464121,0.011138915
2022-05-22,48.5,-121.5,0.000121196,0.002908707
2022-05-23,48.5,-121.5,0.052330792,1.255939008
2022-05-24,48.5,-121.5,0.042443722,1.018649328
2022-05-25,48.5,-121.5,0.23125197,5.55004728
2022-05-26,48.5,-121.5,0.0765421,1.8370104
2022-05-27,48.5,-121.5,0.9076056,21.7825344
2022-05-28,48.5,-121.5,0.56856555,13.6455732
2022-05-29,48.5,-121.5,0.32632998,7.83191952
2022-05-30,48.5,-121.5,0.12779336,3.06704064
2022-05-31,48.5,-121.5,0.005388657,0.129327768
2022-06-01,48.5,-121.5,0.003734479,0.089627506
2022-06-02,48.5,-121.5,0.054683387,1.312401288
2022-06-03,48.5,-121.5,0.45688114,10.96514736
2022-06-04,48.5,-121.5,0.051164925,1.2279582
2022-06-05,48.5,-121.5,0.5602465,13.445916
2022-06-06,48.5,-121.5,0.5394056,12.9457344
2022-06-07,48.5,-121.5,0.010268589,0.246446136
2022-06-08,48.5,-121.5,0.19475299,4.67407176
2022-06-09,48.5,-121.5,0.059680592,1.432334208
2022-06-10,48.5,-121.5,1.714639,41.151336
2022-06-11,48.5,-121.5,0.46002164,11.04051936
2022-06-12,48.5,-121.5,0.22204767,5.32914408
2022-06-13,48.5,-121.5,0.6406751,15.3762024
2022-06-14,48.5,-121.5,0.53390586,12.81374064
2022-06-15,48.5,-121.5,0.001404882,0.033717158
2022-06-16,48.5,-121.5,0.08202151,1.96851624
2022-06-17,48.5,-121.5,0.0656427,1.5754248
2022-06-18,48.5,-121.5,0.3785603,9.0854472
2022-06-19,48.5,-121.5,0.14128877,3.39093048
2022-06-20,48.5,-121.5,0.07932514,1.90380336
2022-06-21,48.5,-121.5,0.00E+00,0
2022-06-22,48.5,-121.5,0.29017806,6.96427344
2022-06-23,48.5,-121.5,0.06547833,1.57147992
2022-06-24,48.5,-121.5,3.96E-05,0.00095129
2022-06-25,48.5,-121.5,0,0
2022-06-26,48.5,-121.5,0.00E+00,0
2022-06-27,48.5,-121.5,0.00E+00,0
2022-06-28,48.5,-121.5,8.05E-06,0.000193119
2022-06-29,48.5,-121.5,0.4184265,10.042236
2022-06-30,48.5,-121.5,0.04772787,1.14546888
2022-07-01,48.5,-121.5,0.002518893,0.06045342
2022-07-02,48.5,-121.5,7.40E-06,0.000177622
2022-07-03,48.5,-121.5,0.13081104,3.13946496
2022-07-04,48.5,-121.5,0.14853765,3.5649036
2022-07-05,48.5,-121.5,0.030713333,0.737119992
2022-07-06,48.5,-121.5,0.05420605,1.3009452
2022-07-07,48.5,-121.5,0.046562754,1.117506096
2022-07-08,48.5,-121.5,0.029155266,0.699726384
2022-07-09,48.5,-121.5,0.013838907,0.332133768
