Date,Latitude,Longitude,Smoke total deposition (mg/m2/day),Smoke wet deposition (mg/m2/day),Smoke dry deposition (mg/m2/day),Dust total deposition (mg/m2/day),Dust wet deposition (mg/m2/day),Dust dry deposition (mg/m2/day),ABF total deposition (mg/m2/day),ABF wet deposition (mg/m2/day),ABF dry deposition (mg/m2/day)
1/1/03,48.809769,-121.7706096,0.1583285,0.1546842,0.00364436,1.411072,1.293224,0.117848,0.3090633,0.2323588,0.07670451
1/2/03,48.809769,-121.7706096,2.396143,2.342556,0.05358646,25.6482,24.62428,1.023915,1.780416,1.493334,0.2870825
1/3/03,48.809769,-121.7706096,0.2446182,0.2342105,0.01040764,13.57167,13.24049,0.3311766,1.662496,1.471356,0.1911401
1/4/03,48.809769,-121.7706096,0.2352694,0.2193089,0.01596056,7.956675,7.136138,0.8205366,0.8306824,0.561503,0.2691794
1/5/03,48.809769,-121.7706096,0.03536937,0.0307359,0.004633475,1.793427,1.641903,0.1515242,0.4877902,0.402993,0.08479713
1/6/03,48.809769,-121.7706096,0.000285003,0,0.000285003,0.03459232,0,0.03459232,0.02220775,0,0.02220775
1/7/03,48.809769,-121.7706096,0.003298049,0,0.003298049,0.02051554,0,0.02051554,0.03599513,0,0.03599513
1/8/03,48.809769,-121.7706096,0.002858024,0,0.002858024,0.0376854,0,0.0376854,0.04231483,0,0.04231483
1/9/03,48.809769,-121.7706096,0.1590346,0,0.1590346,0.05183374,0,0.05183374,0.04209876,0,0.04209876
1/10/03,48.809769,-121.7706096,0.007392536,0,0.007392536,0.0065737,0,0.0065737,0.01179825,0,0.01179825
1/11/03,48.809769,-121.7706096,0.01174058,0,0.01174058,0.1430663,0,0.1430663,0.05778095,0,0.05778095
1/12/03,48.809769,-121.7706096,0.2940498,0.2675174,0.02653242,3.040871,2.627846,0.4130248,1.024514,0.7543966,0.2701177
1/13/03,48.809769,-121.7706096,0.3311672,0.3230887,0.008078475,1.818524,1.536556,0.2819682,0.3377051,0.2397874,0.09791765
1/14/03,48.809769,-121.7706096,0.3360435,0.3163057,0.01973783,1.60164,1.380046,0.2215937,0.9995809,0.7479258,0.2516551
1/15/03,48.809769,-121.7706096,0.00233181,0,0.00233181,0.1192411,0,0.1192411,0.03336432,0,0.03336432
1/16/03,48.809769,-121.7706096,0.004559567,0,0.004559567,0.1294491,0,0.1294491,0.05344776,0,0.05344776
1/17/03,48.809769,-121.7706096,0.00330736,0,0.00330736,0.03576361,0,0.03576361,0.02057704,0,0.02057704
1/18/03,48.809769,-121.7706096,0.006608898,0,0.006608898,0.1423092,0,0.1423092,0.03927215,0,0.03927215
1/19/03,48.809769,-121.7706096,0.04082884,0.03253641,0.008292433,0.2327926,0.1650236,0.06776902,0.2272078,0.1601481,0.06705968
1/20/03,48.809769,-121.7706096,0.008072198,0,0.008072198,0.1300261,0,0.1300261,0.08681096,0,0.08681096
1/21/03,48.809769,-121.7706096,0.2908279,0.2892283,0.001599637,3.051035,2.962124,0.0889108,0.2062104,0.1772103,0.02900014
