Date,Latitude,Longitude,Smoke total deposition (mg/m2/day),Smoke wet deposition (mg/m2/day),Smoke dry deposition (mg/m2/day),Dust total deposition (mg/m2/day),Dust wet deposition (mg/m2/day),Dust dry deposition (mg/m2/day),ABF total deposition (mg/m2/day),ABF wet deposition (mg/m2/day),ABF dry deposition (mg/m2/day)
1/1/03,46.81071839,-121.7254678,0.006441525,0,0.006441525,0.2427994,0,0.2427994,0.1041992,0,0.1041992
1/2/03,46.81071839,-121.7254678,2.039569,1.925533,0.1140365,22.89783,21.01569,1.882139,1.442505,1.126416,0.3160897
1/3/03,46.81071839,-121.7254678,0.4777339,0.4460102,0.03172369,13.75663,12.87005,0.8865864,1.24214,1.032927,0.2092127
1/4/03,46.81071839,-121.7254678,0.1698504,0.1411798,0.02867064,4.875614,3.093649,1.781966,0.4439138,0.177247,0.2666668
1/5/03,46.81071839,-121.7254678,0.04953634,0.04506041,0.00447593,1.928231,1.705954,0.2222773,0.2884303,0.2102396,0.07819071
1/6/03,46.81071839,-121.7254678,0.000636153,0,0.000636153,0.06494752,0,0.06494752,0.04296155,0,0.04296155
1/7/03,46.81071839,-121.7254678,0.01553652,0,0.01553652,0.04161448,0,0.04161448,0.02701526,0,0.02701526
1/8/03,46.81071839,-121.7254678,0.1033415,0,0.1033415,0.04619176,0,0.04619176,0.06908238,0,0.06908238
1/9/03,46.81071839,-121.7254678,0.04064572,0,0.04064572,0.05029103,0,0.05029103,0.05263414,0,0.05263414
1/10/03,46.81071839,-121.7254678,0.0303444,0,0.0303444,0.04099931,0,0.04099931,0.03982023,0,0.03982023
1/11/03,46.81071839,-121.7254678,0.1045146,0.09384759,0.01066703,0.9602152,0.7777478,0.1824674,0.3337804,0.273275,0.0605054
1/12/03,46.81071839,-121.7254678,0.1906715,0.1646898,0.02598167,2.915289,2.322031,0.5932586,0.8528811,0.6528589,0.2000223
1/13/03,46.81071839,-121.7254678,0.02124733,0.003690015,0.01755732,0.2528138,0.04937822,0.2034356,0.18352,0.03412307,0.1493969
1/14/03,46.81071839,-121.7254678,0.02382117,0.007681811,0.01613936,0.2811413,0.1000698,0.1810714,0.260095,0.06992491,0.1901701
1/15/03,46.81071839,-121.7254678,0.001440606,0,0.001440606,0.05875384,0,0.05875384,0.02841098,0,0.02841098
1/16/03,46.81071839,-121.7254678,0.006561041,0,0.006561041,0.1460083,0,0.1460083,0.06751583,0,0.06751583
1/17/03,46.81071839,-121.7254678,0.01441792,0,0.01441792,0.1468037,0,0.1468037,0.09941631,0,0.09941631
1/18/03,46.81071839,-121.7254678,0.04002498,0,0.04002498,0.2801411,0,0.2801411,0.08440233,0,0.08440233
1/19/03,46.81071839,-121.7254678,0.04954401,0,0.04954401,0.2838589,0,0.2838589,0.1372038,0,0.1372038
1/20/03,46.81071839,-121.7254678,0.04190486,0,0.04190486,0.4781515,0,0.4781515,0.2212991,0,0.2212991
1/21/03,46.81071839,-121.7254678,0.1769308,0.1533586,0.02357227,2.691082,2.272839,0.418243,0.4474555,0.2308178,0.2166377
1/22/03,46.81071839,-121.7254678,1.675775,1.591991,0.08378378,15.98689,13.40735,2.579538,1.11468,0.7301393,0.3845409
1/23/03,46.81071839,-121.7254678,1.22394,1.15544,0.0684998,19.25936,17.55517,1.704184,1.669484,1.414772,0.2547121
1/24/03,46.81071839,-121.7254678,0.1968728,0.1570062,0.03986658,6.139277,5.453697,0.6855798,0.6951307,0.5131964,0.1819343
1/25/03,46.81071839,-121.7254678,0.1710731,0.1344541,0.03661902,5.945746,5.8621,0.08364675,0.9707479,0.8111672,0.1595807
1/26/03,46.81071839,-121.7254678,0.7498269,0.7344077,0.01541924,9.195207,8.598763,0.5964441,0.9022559,0.5136502,0.3886057
1/27/03,46.81071839,-121.7254678,0.408361,0.3860305,0.02233053,5.394816,4.552896,0.8419201,0.4580985,0.2417024,0.2163961
1/28/03,46.81071839,-121.7254678,0.08491718,0.06761391,0.01730327,2.309212,1.4271,0.882112,0.2066031,0.08201811,0.124585
1/29/03,46.81071839,-121.7254678,0.1237911,0.1150212,0.008769878,2.657295,2.203348,0.4539464,0.3418201,0.1393335,0.2024866
1/30/03,46.81071839,-121.7254678,0.4252477,0.4210144,0.004233302,10.089,9.909012,0.1799884,1.483766,1.321234,0.1625323
1/31/03,46.81071839,-121.7254678,0.8125677,0.7905719,0.02199587,16.26863,15.41441,0.854223,1.728651,1.468143,0.2605082
2/1/03,46.81071839,-121.7254678,0.757197,0.7290759,0.02812108,17.75111,14.86147,2.889633,0.588711,0.4010833,0.1876278
2/2/03,46.81071839,-121.7254678,0.05559465,0.04246223,0.01313241,2.03422,1.234223,0.7999976,0.3084368,0.1476905,0.1607463
2/3/03,46.81071839,-121.7254678,0.05327436,0.04817326,0.005101101,1.211833,0.7415675,0.4702654,0.486902,0.2099701,0.2769319
2/4/03,46.81071839,-121.7254678,0.002819528,0,0.002819528,0.2366618,0,0.2366618,0.1509531,0,0.1509531
2/5/03,46.81071839,-121.7254678,0.003544933,0,0.003544933,0.05764022,0,0.05764022,0.06389122,0,0.06389122
2/6/03,46.81071839,-121.7254678,0.01207858,0,0.01207858,0.05603552,0,0.05603552,0.08129872,0,0.08129872
2/7/03,46.81071839,-121.7254678,0.004757547,0,0.004757547,0.01713871,0,0.01713871,0.02823983,0,0.02823983
2/8/03,46.81071839,-121.7254678,0.07279562,0,0.07279562,0.1322982,0,0.1322982,0.2047242,0,0.2047242
2/9/03,46.81071839,-121.7254678,0.03773517,0,0.03773517,0.1170729,0,0.1170729,0.04841416,0,0.04841416
2/10/03,46.81071839,-121.7254678,0.02767003,0,0.02767003,0.07058799,0,0.07058799,0.06410769,0,0.06410769
2/11/03,46.81071839,-121.7254678,0.01336118,0,0.01336118,0.1035308,0,0.1035308,0.06829527,0,0.06829527
2/12/03,46.81071839,-121.7254678,0.00671179,0,0.00671179,0.06294046,0,0.06294046,0.03861405,0,0.03861405
2/13/03,46.81071839,-121.7254678,0.04138097,0,0.04138097,0.5067468,0,0.5067468,0.1143818,0,0.1143818
2/14/03,46.81071839,-121.7254678,0.1990714,0,0.1990714,0.7753959,0,0.7753959,0.2321891,0,0.2321891
2/15/03,46.81071839,-121.7254678,0.1164836,0,0.1164836,0.3751904,0,0.3751904,0.1257573,0,0.1257573
2/16/03,46.81071839,-121.7254678,0.1487905,0.1178837,0.03090679,2.137421,2.013053,0.1243678,1.232404,1.109432,0.1229716
2/17/03,46.81071839,-121.7254678,0.1864581,0.180076,0.00638207,4.663415,4.285372,0.3780436,0.8079675,0.6768639,0.1311036
2/18/03,46.81071839,-121.7254678,0.3216528,0.3123963,0.009256583,3.226516,2.715574,0.5109425,0.5878821,0.4665071,0.121375
2/19/03,46.81071839,-121.7254678,0.0118831,0.008922117,0.002960982,0.9143097,0.57211,0.3421997,0.3389502,0.1988608,0.1400894
2/20/03,46.81071839,-121.7254678,3.876172,3.869954,0.006218476,10.23764,9.197481,1.04016,0.7509766,0.4562504,0.2947262
2/21/03,46.81071839,-121.7254678,0.1353709,0.11956,0.0158109,7.224604,6.020065,1.204538,0.8412251,0.4915257,0.3496995
2/22/03,46.81071839,-121.7254678,0.06212619,0.05832738,0.003798812,3.560575,3.21803,0.342545,0.5989066,0.4881318,0.1107748
2/23/03,46.81071839,-121.7254678,0.01080224,0,0.01080224,0.3980506,0.1219637,0.2760869,0.122905,0.009122386,0.1137826
2/24/03,46.81071839,-121.7254678,0.04362883,0,0.04362883,0.4356771,0,0.4356771,0.06359511,0,0.06359511
2/25/03,46.81071839,-121.7254678,0.03220093,0,0.03220093,0.4120004,0,0.4120004,0.07574577,0,0.07574577
2/26/03,46.81071839,-121.7254678,0.04611258,0,0.04611258,0.271858,0,0.271858,0.07733017,0,0.07733017
2/27/03,46.81071839,-121.7254678,0.1559764,0.05802773,0.0979487,1.228954,0.3519253,0.8770291,0.471447,0.158973,0.312474
2/28/03,46.81071839,-121.7254678,1.036791,0.9222704,0.1145206,5.875609,4.508805,1.366804,0.8094655,0.2445547,0.5649107
3/1/03,46.81071839,-121.7254678,0.0969394,0.07208819,0.02485121,1.936489,1.565497,0.3709915,0.6194361,0.3394414,0.2799948
3/2/03,46.81071839,-121.7254678,0.1134249,0,0.1134249,2.651673,0,2.651673,0.5743709,0,0.5743709
3/3/03,46.81071839,-121.7254678,0.2007568,0.1476446,0.05311227,9.450997,5.457316,3.993681,0.8992993,0.4769697,0.4223297
3/4/03,46.81071839,-121.7254678,0.04320036,0,0.04320036,0.491165,0,0.491165,0.1804844,0,0.1804844
3/5/03,46.81071839,-121.7254678,0.04835074,0.01303183,0.03531891,1.628289,0.5766961,1.051593,0.3721141,0.04571937,0.3263947
3/6/03,46.81071839,-121.7254678,0.1905937,0.1728071,0.01778658,12.90135,10.73461,2.166749,1.689689,1.354009,0.3356805
3/7/03,46.81071839,-121.7254678,0.3050171,0.3006926,0.00432453,10.76625,10.35149,0.4147577,0.8716934,0.7887143,0.08297905
3/8/03,46.81071839,-121.7254678,0.3414064,0.3276669,0.01373952,9.244803,8.403489,0.8413143,0.5513281,0.431573,0.119755
3/9/03,46.81071839,-121.7254678,0.2063319,0.1366412,0.06969073,6.649201,3.786361,2.86284,0.724934,0.2945565,0.4303775
3/10/03,46.81071839,-121.7254678,0.02684204,0.02311938,0.003722663,1.960067,1.540505,0.4195619,0.392085,0.1786507,0.2134343
3/11/03,46.81071839,-121.7254678,0.02851924,0.02202827,0.006490966,2.814064,2.122751,0.6913127,0.4614537,0.2147759,0.2466778
3/12/03,46.81071839,-121.7254678,0.04829038,0.04217975,0.006110626,3.288392,2.606279,0.6821125,0.6104341,0.3950623,0.2153718
3/13/03,46.81071839,-121.7254678,0.3438601,0.3212309,0.02262924,20.38145,17.43834,2.943111,0.9157141,0.6454019,0.2703122
3/14/03,46.81071839,-121.7254678,0.4409071,0.3937687,0.04713837,10.21395,8.376788,1.837164,0.7986467,0.5541734,0.2444734
3/15/03,46.81071839,-121.7254678,0.1230188,0.112151,0.01086783,6.365605,5.570894,0.794711,0.6208054,0.4566042,0.1642013
3/16/03,46.81071839,-121.7254678,0.03242677,0.02213064,0.01029613,3.938861,2.978524,0.9603367,0.4461401,0.2677512,0.178389
3/17/03,46.81071839,-121.7254678,0.07166268,0.063668,0.007994682,4.685191,3.700345,0.9848459,0.4940272,0.3399217,0.1541055
3/18/03,46.81071839,-121.7254678,0.1177783,0.09122388,0.02655441,6.441758,3.861943,2.579815,0.4942298,0.2500474,0.2441824
