"Date/Time (PST)","Battery Voltage  (v) ","Precipitation  ("") ","Relative Humidity  (%) ","Total Snow Depth  ("") ","24 Hour Snow  ("") ","Temperature  (deg F) "
"2022-12-31 23:00:00",13.3,0,97.6,94.7,3.197,29.03
"2022-12-31 22:00:00",13.3,0,97.6,94.7,3.13,29
"2022-12-31 21:00:00",13.3,0.01,97.4,95.1,3.134,29.03
"2022-12-31 20:00:00",13.3,0.01,97.6,95,3,29.22
"2022-12-31 19:00:00",13.3,0,97.2,95.4,3.136,29.13
"2022-12-31 18:00:00",13.3,0,97,94.7,2.869,29.1
"2022-12-31 17:00:00",13.3,0,97.1,95.2,2.804,28.78
"2022-12-31 16:00:00",13.3,0,96.6,94.7,2.743,30.85
"2022-12-31 15:00:00",13.3,0,95,94,2.677,32.46
"2022-12-31 14:00:00",13.3,0,93.4,94.8,2.477,33.18
"2022-12-31 13:00:00",13.3,0.03,93.8,96.3,2.877,32.4
"2022-12-31 12:00:00",13.3,0.01,93.9,95.6,2.477,32.06
"2022-12-31 11:00:00",13.3,0.01,96.9,98,2.476,31.64
"2022-12-31 10:00:00",13.3,0.03,97.3,98.2,2.403,30.2
"2022-12-31 09:00:00",13.3,0.12,97.8,98.9,2.335,29.61
"2022-12-31 08:00:00",13.3,0.12,97.8,97.4,0.402,29.56
"2022-12-31 07:00:00",13.3,0.08,97.8,95.3,0.135,29.31
"2022-12-31 06:00:00",13.3,0.15,97.6,96.5,18.97,29.23
"2022-12-31 05:00:00",13.3,0.17,97.7,95.7,18.94,29.44
"2022-12-31 04:00:00",13.3,0.13,98.1,94,18.34,29.97
"2022-12-31 03:00:00",13.3,0.11,98.2,90.8,15.67,30.2
"2022-12-31 02:00:00",13.3,0.11,98.2,90,14.38,30.34
"2022-12-31 01:00:00",13.3,0.1,98.3,88.5,12.34,30.72
"2022-12-31 00:00:00",13.3,0.06,98.5,86.4,11.38,31.22
"2022-12-30 23:00:00",13.3,0.07,98.7,86.6,11.14,31.18
"2022-12-30 22:00:00",13.3,0.14,98.8,83.6,10.28,31.01
"2022-12-30 21:00:00",13.3,0.1,98.9,85.8,9.68,31.23
"2022-12-30 20:00:00",13.3,0.1,98.8,84.7,8.94,31.22
"2022-12-30 19:00:00",13.3,0.1,98.9,81.9,8.34,31.12
"2022-12-30 18:00:00",13.3,0.07,99,83.6,7.61,31.2
"2022-12-30 17:00:00",13.3,0.07,99.1,83.3,7.01,31.61
"2022-12-30 16:00:00",13.3,0.07,99,82.7,6.344,31.8
"2022-12-30 15:00:00",13.3,0.11,98.9,82.8,6.077,31.83
"2022-12-30 14:00:00",13.3,0.12,98.8,81.5,4.877,31.88
"2022-12-30 13:00:00",13.3,0.1,98.9,78.08,4.477,31.93
"2022-12-30 12:00:00",13.3,0.1,99,80.8,4.243,31.81
"2022-12-30 11:00:00",13.3,0.16,99,79.68,3.677,31.86
"2022-12-30 10:00:00",13.3,0.09,99.1,79.48,3.01,31.8
"2022-12-30 09:00:00",13.3,0.13,99,78.01,1.643,31.24
"2022-12-30 08:00:00",13.3,0.11,99.1,77.44,0.942,31.27
"2022-12-30 07:00:00",13.3,0.1,99,77.61,0.143,31.44
"2022-12-30 06:00:00",13.3,0.1,98.8,77.67,9.84,30.61
"2022-12-30 05:00:00",13.3,0.14,98.9,74.04,7.943,30.7
"2022-12-30 04:00:00",13.3,0.13,98.7,74.84,7.61,30.53
"2022-12-30 03:00:00",13.3,0.1,99.1,73.01,4.076,31.37
"2022-12-30 02:00:00",13.3,0.08,99.2,69.47,3.876,31.36
"2022-12-30 01:00:00",13.3,0.08,99.2,68.81,3.543,31.64
"2022-12-30 00:00:00",13.3,0.01,99,71.61,3.41,31.84
"2022-12-29 23:00:00",13.3,0,99.1,71.94,3.477,31.83
"2022-12-29 22:00:00",13.3,0,99.2,72.21,3.41,31.69
"2022-12-29 21:00:00",13.3,0.06,99,72,3.409,31.35
"2022-12-29 20:00:00",13.3,0.03,98.7,71.53,3.069,30.66
"2022-12-29 19:00:00",13.3,0.02,98.4,71.54,2.799,29.86
"2022-12-29 18:00:00",13.3,0.02,98.1,71.33,2.397,29.29
"2022-12-29 17:00:00",13.3,0.03,98.1,70.93,2.731,29.2
"2022-12-29 16:00:00",13.3,0.05,98,70.35,2.066,29.16
"2022-12-29 15:00:00",13.3,0.04,97.9,69.34,0.898,29.2
"2022-12-29 14:00:00",13.3,0.03,97.6,68.95,0.801,28.73
"2022-12-29 13:00:00",13.3,0.01,97.6,69.14,-0.069,28.67
"2022-12-29 12:00:00",13.3,0,97.3,69.55,0.067,28.82
"2022-12-29 11:00:00",13.3,0,97.4,69.73,0.062,29.27
"2022-12-29 10:00:00",13.3,0,97.5,69.91,0.061,29.28
"2022-12-29 09:00:00",13.3,0,97.4,70.18,0.194,28.9
"2022-12-29 08:00:00",13.3,0,97.1,70.45,0.194,28.16
"2022-12-29 07:00:00",13.3,0,97,70.71,3.929,28.03
"2022-12-29 06:00:00",13.3,0,97,70.45,3.929,27.8
"2022-12-29 05:00:00",13.3,0,96.8,70.85,3.962,27.6
"2022-12-29 04:00:00",13.3,0,96.3,70.77,3.927,27.09
"2022-12-29 03:00:00",13.3,0,95.9,71.03,4.051,26.78
"2022-12-29 02:00:00",13.3,0,95.6,71.16,4.017,26.39
"2022-12-29 01:00:00",13.3,0,95.5,71.21,3.989,26.16
"2022-12-29 00:00:00",13.3,0,95.4,71.28,4.052,25.95
"2022-12-28 23:00:00",13.3,0,95.1,71.3,4.05,25.11
"2022-12-28 22:00:00",13.3,0,94.8,71.49,4.015,25.04
"2022-12-28 21:00:00",13.3,0,94.5,71.49,4.048,23.93
"2022-12-28 20:00:00",13.3,0,94.8,71.49,3.986,24.79
"2022-12-28 19:00:00",13.3,0.01,95.1,71.69,4.058,25.1
"2022-12-28 18:00:00",13.3,0,95.5,71.65,3.996,25.58
"2022-12-28 17:00:00",13.3,0.02,96.2,71.45,3.996,26.54
"2022-12-28 16:00:00",13.3,0.03,96.6,71.25,3.662,27
"2022-12-28 15:00:00",13.3,0.01,96.7,71.52,3.529,27.34
"2022-12-28 14:00:00",13.3,0.02,96.8,70.92,3.262,28.23
"2022-12-28 13:00:00",13.3,0.05,96.8,70.98,3.129,27.43
"2022-12-28 12:00:00",13.3,0.04,96.9,70.98,2.862,27.88
"2022-12-28 11:00:00",13.3,0.05,96.9,70.38,2.729,27.35
"2022-12-28 10:00:00",13.3,0.03,96.6,71.05,2.195,27.27
"2022-12-28 09:00:00",13.3,0.08,96.7,69.71,1.728,27.23
"2022-12-28 08:00:00",13.3,0.11,96.6,69.88,0.994,26.97
"2022-12-28 07:00:00",13.3,0.03,96.8,69.91,0.294,27.27
"2022-12-28 06:00:00",13.3,0.04,96.8,69.25,0.194,27.36
"2022-12-28 05:00:00",13.3,0.06,97.1,69.05,10.06,27.87
"2022-12-28 04:00:00",13.3,0.12,97.4,69.05,9.93,28.08
"2022-12-28 03:00:00",13.3,0.15,97.5,68.32,9.13,28.29
"2022-12-28 02:00:00",13.3,0.08,97.4,67.65,8.33,28.31
"2022-12-28 01:00:00",13.3,0.14,97.4,66.87,6.667,28.78
"2022-12-28 00:00:00",13.3,0.14,97.1,65.93,6.466,28.97
"2022-12-27 23:00:00",13.3,0.1,96.8,65.02,5.397,28.68
"2022-12-27 22:00:00",13.3,0.05,96.3,63.56,3.902,28.26
"2022-12-27 21:00:00",13.3,0.05,95.7,63.21,1.943,29.85
"2022-12-27 20:00:00",13.3,0.07,97.5,62.94,0.143,31.21
"2022-12-27 19:00:00",13.3,0.04,96.2,62.08,0.076,31.83
"2022-12-27 18:00:00",13.3,0.04,94.7,62.54,0.143,32.52
"2022-12-27 17:00:00",13.3,0.04,95.3,62.94,0.11,32.8
"2022-12-27 16:00:00",13.3,0.05,94.3,62.94,-0.19,33.44
"2022-12-27 15:00:00",13.3,0.09,95,63.34,15.71,33.17
"2022-12-27 14:00:00",13.3,0.14,94.4,63.34,8.74,33.22
"2022-12-27 13:00:00",13.3,0.24,95.1,61.74,8.81,32.76
"2022-12-27 12:00:00",13.3,0.11,95.1,61.78,10.51,32.62
"2022-12-27 11:00:00",13.3,0.2,94.5,61.24,12.74,32.88
"2022-12-27 10:00:00",13.3,0.16,90.4,62.04,21.55,35.52
"2022-12-27 09:00:00",13.3,0.15,90.8,61.84,21.55,36.71
"2022-12-27 08:00:00",13.3,0.12,89.4,61.84,18.62,37.8
"2022-12-27 07:00:00",13.3,0.14,90.4,63.17,12.76,37.64
