"Date/Time (PST)","Battery Voltage  (v) ","Relative Humidity  (%) ","Solar Radiation  (W/m2) ","Temperature  (deg F) ","Wind Direction  (deg.) ","Wind Speed Average  (mph) ","Wind Speed Maximum  (mph) ","Wind Speed Minimum  (mph) "
"2023-12-31 23:00:00",13.57,94.7,0,26.96,199.5,6.093,8.47,4.236
"2023-12-31 22:00:00",13.57,95,0,26.91,199.1,3.265,5.648,0
"2023-12-31 21:00:00",13.57,95.2,0,26.92,210.3,1.669,5.648,0
"2023-12-31 20:00:00",13.57,95.3,0,26.45,185.4,0,0,0
"2023-12-31 19:00:00",13.57,95.2,0,26.86,141.7,0,0,0
"2023-12-31 18:00:00",13.57,95.8,0,27.24,141.7,0.216,1.412,0
"2023-12-31 17:00:00",13.56,95.7,0,27.19,161.1,0,0,0
"2023-12-31 16:00:00",13.56,95.5,25.64918,27.42,206.1,1.992,4.942,0
"2023-12-31 15:00:00",13.56,95.9,65.53561,28.28,197.3,3.665,5.648,2.118
"2023-12-31 14:00:00",13.56,95.9,169.0711,28.48,190.7,4.973,7.766,2.118
"2023-12-31 13:00:00",13.55,96.1,319.7949,29.15,185.3,4.773,7.06,2.824
"2023-12-31 12:00:00",13.54,95.8,192.1924,28.1,181.9,4.116,6.354,2.118
"2023-12-31 11:00:00",13.56,95.8,254.2267,29.16,177.8,3.708,6.354,2.118
"2023-12-31 10:00:00",13.56,95.8,129.4865,27.8,179.2,3.932,6.354,2.118
"2023-12-31 09:00:00",13.58,95.4,35.37854,27.08,169.6,6.177,9.88,3.53
"2023-12-31 08:00:00",13.59,95.5,0.3411315,26.75,172.4,7.58,10.59,4.236
"2023-12-31 07:00:00",13.6,95.7,0.0365558,27.36,175.3,6.319,11.3,3.53
"2023-12-31 06:00:00",13.57,95.7,0,27.48,181.9,8.3,12,4.942
"2023-12-31 05:00:00",13.58,96.1,0.1584101,28.06,180.1,6.972,12,3.53
"2023-12-31 04:00:00",13.58,96.2,0.7189353,28.36,184.4,6.703,13.41,2.118
"2023-12-31 03:00:00",13.58,96.8,0.1096586,29.23,182,5.346,9.88,1.412
"2023-12-31 02:00:00",13.58,97,0.6335363,29.66,179.5,6.88,10.59,2.824
"2023-12-31 01:00:00",13.57,97.4,2.716857,30.36,187,4.76,9.18,1.412
"2023-12-31 00:00:00",13.58,97.6,4.385938,30.66,189,4.332,8.47,1.412
"2023-12-30 23:00:00",13.57,97.3,4.385961,29.98,162.9,1,4.236,0
"2023-12-30 22:00:00",13.57,97.5,2.241708,30.28,138.8,1.461,7.06,0
"2023-12-30 21:00:00",13.57,97.9,0,31.5,172.9,4.691,18.36,0.706
"2023-12-30 20:00:00",13.57,98.1,0,31.73,180.5,15.73,21.89,9.18
"2023-12-30 19:00:00",13.57,98.2,0.02436286,31.99,199.1,14.85,22.59,7.06
"2023-12-30 18:00:00",13.57,98.1,0,33.12,193.2,13.21,18.36,9.18
"2023-12-30 17:00:00",13.56,98,8.452765,33.15,187.6,12.7,17.65,7.766
"2023-12-30 16:00:00",13.56,97.9,51.84796,32.86,176.9,16.75,25.42,8.47
"2023-12-30 15:00:00",13.55,98,151.9377,32.72,189.9,22.03,31.77,14.12
"2023-12-30 14:00:00",13.55,97.9,170.5559,33.7,190.9,18.55,29.65,4.236
"2023-12-30 13:00:00",13.56,98.1,171.296,34.62,196.1,17.5,26.83,5.648
"2023-12-30 12:00:00",13.54,98.1,180.4585,35.11,197.2,14.26,21.18,5.648
"2023-12-30 11:00:00",13.55,98,140.4601,35.18,194.3,10.19,19.06,2.118
"2023-12-30 10:00:00",13.55,97.8,88.36408,34.78,197.6,8,18.36,0.706
"2023-12-30 09:00:00",13.56,97.5,22.18736,34.28,187,9.57,17.65,2.118
"2023-12-30 08:00:00",13.56,94.4,0.5726411,34.53,180.1,13.67,23.3,4.942
"2023-12-30 07:00:00",13.57,79.55,0,36.56,180.2,15.53,25.42,4.236
"2023-12-30 06:00:00",13.57,72.15,0,37.86,188.7,11.32,21.18,4.236
"2023-12-30 05:00:00",13.57,68.88,0,38.39,177.9,14.78,26.83,4.236
"2023-12-30 04:00:00",13.57,65.13,0,39.18,182.4,18.97,28.24,8.47
"2023-12-30 03:00:00",13.57,63.59,0,39.51,197.8,9.11,23.3,0.706
"2023-12-30 02:00:00",13.57,65.48,0,39.4,182,13.83,24.71,3.53
"2023-12-30 01:00:00",13.57,66.25,0,39.64,177.4,9.36,16.24,2.118
"2023-12-30 00:00:00",13.57,66.47,0,39.66,186.8,6.152,14.83,0.706
"2023-12-29 23:00:00",13.57,64.16,0,40.33,170.2,5.075,16.24,1.412
"2023-12-29 22:00:00",13.57,58.22,0,42.48,183.2,9.67,21.18,2.824
"2023-12-29 21:00:00",13.57,53.52,0,44.17,184.6,11.09,24,4.236
"2023-12-29 20:00:00",13.57,50.94,0,45.05,160.4,6.152,20.47,1.412
"2023-12-29 19:00:00",13.57,52.19,0,44.75,31.69,4.96,9.88,0.706
"2023-12-29 18:00:00",13.57,52.59,0,45.07,136.6,4.93,13.41,0.706
"2023-12-29 17:00:00",13.57,54.19,3.093998,44.67,169.1,4.495,13.41,0
"2023-12-29 16:00:00",13.54,56.58,74.25466,44.19,334.7,2.483,7.766,0
"2023-12-29 15:00:00",13.56,54.84,160.1312,44.81,344,2.893,8.47,0
