"Date/Time (PST)","Battery Voltage  (v) ","Precipitation  ("") ","Relative Humidity  (%) ","Total Snow Depth  ("") ","24 Hour Snow  ("") ","Temperature  (deg F) ","Soil Moisture A  (VWC) ","Soil Moisture B  (VWC) ","Soil Moisture C  (VWC) ","Soil Temperature A  (deg F) ","Soil Temperature B  (deg F) ","Soil Temperature C  (deg F) "
"2022-12-31 23:00:00",13.16,0,95.8,90.9,-0.736,24.75,0.535,0.504,0.6,0.434,0.539,0.539
"2022-12-31 22:00:00",13.16,0.02,97.4,91,46.2,25.68,0.535,0.506,0.6,0.435,0.547,0.547
"2022-12-31 21:00:00",13.16,0.03,97.5,90.7,-0.397,25.99,0.548,0.51,0.6,0.437,0.549,0.549
"2022-12-31 20:00:00",13.16,0.03,97.7,90.6,-0.731,26.09,0.552,0.512,0.599,0.438,0.55,0.55
"2022-12-31 19:00:00",13.16,0.01,97.8,90.5,-0.464,25.95,0.552,0.513,0.6,0.438,0.55,0.55
"2022-12-31 18:00:00",13.16,0.01,97.8,90.5,-0.363,25.94,0.552,0.515,0.599,0.439,0.553,0.553
"2022-12-31 17:00:00",13.16,0,97.7,90.6,-0.397,26.36,0.553,0.517,0.599,0.438,0.559,0.559
"2022-12-31 16:00:00",13.16,0,97.8,90.1,-0.464,27.63,0.553,0.524,0.599,0.434,0.556,0.556
"2022-12-31 15:00:00",13.16,0,96.9,89.9,5.695,29.59,0.553,0.526,0.599,0.433,0.556,0.556
"2022-12-31 14:00:00",13.16,0,97,89.9,5.83,29.57,0.553,0.529,0.599,0.433,0.559,0.559
"2022-12-31 13:00:00",13.16,0,98.9,90,5.896,29.52,0.553,0.534,0.599,0.438,0.564,0.564
"2022-12-31 12:00:00",13.16,0.02,97.4,90.1,5.628,29.32,0.553,0.537,0.599,0.438,0.573,0.573
"2022-12-31 11:00:00",13.16,0,98.3,90.3,5.729,28.2,0.554,0.542,0.599,0.439,0.573,0.573
"2022-12-31 10:00:00",13.16,0.01,98.2,90.8,5.628,27.8,0.554,0.548,0.599,0.441,0.577,0.577
"2022-12-31 09:00:00",13.16,0.04,99,90.9,46.2,26.86,0.554,0.553,0.599,0.445,0.588,0.588
"2022-12-31 08:00:00",13.16,0.03,98,90.8,4.959,26.38,0.554,0.553,0.599,0.446,0.588,0.588
"2022-12-31 07:00:00",13.16,0.04,98.1,90.9,5.361,26.5,0.555,0.554,0.599,0.446,0.588,0.588
"2022-12-31 06:00:00",13.16,0.06,98.4,90.5,4.792,26.73,0.555,0.554,0.599,0.448,0.588,0.588
"2022-12-31 05:00:00",13.16,0.04,98.3,89.9,4.557,26.67,0.555,0.554,0.599,0.446,0.59,0.59
"2022-12-31 04:00:00",13.16,0.02,98.3,89.5,3.955,26.48,0.555,0.554,0.599,0.446,0.591,0.591
"2022-12-31 03:00:00",13.16,0.01,98.8,89.5,4.156,27.09,0.555,0.554,0.599,0.445,0.592,0.592
"2022-12-31 02:00:00",13.16,0,98.8,89.6,3.955,26.88,0.555,0.554,0.599,0.446,0.589,0.589
"2022-12-31 01:00:00",13.16,0.02,98.7,89.4,3.352,27.22,0.555,0.554,0.599,0.446,0.593,0.593
"2022-12-31 00:00:00",13.16,0.03,98.8,89.8,3.687,27.3,0.555,0.554,0.599,0.446,0.595,0.595
